Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Barley,2020,Winter,West Bengal,7499.869874469364,15551.133709925341,986.9048051688972,739.4595845779822,52.82583111368165,2.073520470383578
Barley,2014,Kharif,Madhya Pradesh,1241.6584290549808,2599.374091240115,663.8991670323461,289.5072879363155,191.96574525501208,2.093469532694659
Maize,2022,Winter,West Bengal,2354.3245490708505,6877.6238335201015,1125.4829049252576,764.9591583290737,26.677508596001495,2.921272615635937
Sugarcane,2023,Kharif,Tamil Nadu,1079.154020716806,7936.998046378292,1646.4308477558245,593.2797553837363,10.823670635774842,7.354833410254362
Cotton,2022,Rabi,Rajasthan,4390.787154858656,5591.966468305644,1092.4624993167758,186.41569625520697,137.85763143440656,1.2735681031857384
Wheat,2016,Whole Year,Andhra Pradesh,1348.5491003718694,6142.858788219135,1475.268833327401,601.5576943001505,126.7501411456785,4.555161385317902
Barley,2011,Whole Year,West Bengal,4429.230569952211,15029.72743351821,1637.9232260762903,160.09852439123497,150.14665296083894,3.393304366559624
Soybean,2015,Summer,Punjab,7347.772732431204,32739.865410890117,984.104340824484,112.87655654195984,149.0104280057189,4.455753682525408
Sugarcane,2022,Rabi,West Bengal,6865.547468119833,58209.67313242384,1696.271839408215,900.664902916556,174.0192341805444,8.478518778396106
Sugarcane,2015,Whole Year,Gujarat,2876.5588198332675,49587.776226338574,1008.3885754545645,540.9245004440452,185.2006321776068,17.238575441058703
Wheat,2020,Summer,Karnataka,6770.249237544632,26712.653155609827,884.1605906906841,588.9606895362923,157.25467176899835,3.945593761522687
Barley,2012,Rabi,Tamil Nadu,9284.350095905811,22907.413912531018,833.6692516397975,351.9439944672402,54.13563230819838,2.4673147474945685
Soybean,2015,Whole Year,Rajasthan,3540.4914321406636,7208.5926558489,799.8562185872589,588.4702475117441,98.06427387680509,2.0360429601408234
Cotton,2019,Kharif,Madhya Pradesh,3358.279621606305,7416.026880185762,1605.6861092200952,251.9818229347595,131.9258957246189,2.2082815357223256
Rice,2019,Winter,Andhra Pradesh,5757.242649671973,24136.034617649653,1831.2638915853765,771.0812176460726,112.47940108050098,4.1922906652240615
Soybean,2023,Rabi,Andhra Pradesh,2530.467929171971,10200.162989956558,845.9727112779339,841.014244363497,40.19052736257869,4.030939444980159
Wheat,2014,Summer,Karnataka,6550.631387004494,16356.477546449383,627.8604466942309,870.2882019273343,121.96187581856869,2.496931452882278
Sugarcane,2021,Rabi,Maharashtra,8339.391529657561,69686.87456834693,970.6504644326576,195.98744568513703,178.44044339245536,8.356350019125252
Cotton,2011,Summer,Maharashtra,4647.253200476457,14050.48209020464,1486.770858382038,601.9789603103136,89.51827242036856,3.0233950000323033
Soybean,2018,Rabi,Madhya Pradesh,6827.122516790986,21769.595251194292,1052.7801383390583,827.8758728596296,137.09723664272667,3.1886926296771443
Rice,2017,Summer,West Bengal,6553.665696441653,40910.50739826666,1323.764808816828,215.39483939114945,127.02751439250426,6.242385451622781
Rice,2012,Whole Year,Gujarat,482.7890622911362,2399.761465043929,1616.457448512793,189.570167356669,81.63819600235806,4.970621027857506
Maize,2017,Kharif,Andhra Pradesh,1915.8213222401864,7654.384626377886,1112.7177967325729,835.2477988030188,117.40152935797425,3.995354126984842
Maize,2023,Whole Year,West Bengal,8945.947017999486,39342.89794278802,1999.5422470567923,817.0624350021004,49.94028644078359,4.397846070810508
Groundnut,2018,Kharif,Andhra Pradesh,9395.032258913692,31681.45920751002,946.9238903532537,503.8238232671211,113.76037915208562,3.3721501251314714
Wheat,2023,Whole Year,Andhra Pradesh,7826.352435120656,31438.438295504402,1967.3725278089255,198.74005197405836,161.77762219317205,4.016997516547404
Barley,2012,Whole Year,West Bengal,9220.356668444178,31266.751169046107,804.544497849671,564.5108415852565,154.2000762223406,3.3910565820141954
Soybean,2012,Rabi,Karnataka,3130.8716440938906,5853.8172849968,666.3976148964347,455.32288000419953,78.01136446334361,1.8697084871043828
Soybean,2011,Winter,Maharashtra,2552.338620612565,6051.682556396354,1626.2459376415518,566.6926879396115,31.296191022236666,2.3710343555213456
Barley,2017,Summer,Uttar Pradesh,3904.571856849148,15200.502874543816,1553.4644849767972,495.9056818230244,161.98908735757453,3.893001187282563
Groundnut,2019,Summer,Punjab,647.8857856494833,1487.9999649442786,1716.7540208636965,611.6629720518002,60.35742700395934,2.2967010511777315
Sugarcane,2010,Summer,Karnataka,8117.729028509145,86150.33429882054,1015.3856325999574,754.4167466619645,20.078315770292868,10.612615177996698
Sugarcane,2017,Kharif,Tamil Nadu,9843.337302639266,99587.67873223375,1896.2114807794756,797.3739132857727,94.58666244104054,10.117267718290178
Groundnut,2016,Summer,Gujarat,8257.889995122438,14498.140695811671,679.2221425596183,684.0839784140596,150.49940061384405,1.7556713281934087
Sugarcane,2023,Summer,Gujarat,5594.2558150402265,58358.12188486556,545.4156519966892,279.04655354175344,163.61373469294566,10.431793577971359
Maize,2016,Rabi,Punjab,3023.291507781203,16663.34823358066,950.8458276679573,457.4107230446072,196.61840835216745,5.511657804314711
Soybean,2012,Whole Year,Gujarat,2057.2090965814477,9077.162409631324,1695.9866951003755,164.1016258621495,45.987459965723474,4.412367427654891
Groundnut,2010,Summer,West Bengal,3704.2224307869337,8619.944470267554,1509.473460910472,506.5063552676543,65.82102158750124,2.3270590876575175
Soybean,2013,Winter,Gujarat,6702.998342527242,23466.33351043617,1154.3131463339346,973.3054714523661,125.80319471110447,3.500871149192112
Barley,2018,Summer,Uttar Pradesh,4525.909399854154,13560.433476051914,884.3804212915031,677.5576368319096,164.1553024520447,2.99617872962479
Rice,2014,Kharif,Gujarat,9347.192218836411,30267.055376162996,588.9091801519658,239.15126319714722,54.474254036073546,3.238090612405401
Maize,2010,Kharif,Andhra Pradesh,8556.781395360751,32343.625590516185,1006.2583676712088,341.7198937978893,87.88374557101425,3.7798821888861154
Cotton,2014,Kharif,Karnataka,1113.7660980326996,1800.24128462899,1190.0296516321246,158.11628167229213,87.5961270059735,1.6163548951695024
Maize,2022,Summer,West Bengal,1402.0997164685286,6715.250817663988,1530.535757106808,264.17250113676937,156.857979288681,4.789424560028943
Groundnut,2017,Rabi,Maharashtra,6794.767934471098,14267.12266414483,1468.9579324196466,539.05747913,55.777119078995064,2.0997218450633337
Cotton,2017,Winter,Gujarat,2384.607060805508,9087.791270750273,1921.017354397817,410.37074328576944,194.06412539222626,3.8110225454421256
Rice,2014,Summer,Madhya Pradesh,7931.195782416337,19739.427419912397,650.5938785792916,283.56608557789,106.98812440073785,2.4888337094987882
Groundnut,2021,Rabi,Madhya Pradesh,5954.445609030896,13258.624779389527,1004.5101843187047,231.93857220657048,63.59269895500967,2.226676612727916
Wheat,2018,Rabi,Madhya Pradesh,2375.322224560165,10530.256201729992,1222.3671229053475,690.4640052794854,64.01397134651245,4.433190618455929
Soybean,2010,Summer,Gujarat,4838.999295057853,17698.577437053864,1506.043690780984,602.292139185566,13.476997473754391,3.6574870872847
Rice,2013,Summer,Tamil Nadu,4120.155294433631,13173.18492888667,1243.1775371621095,858.3762809933811,141.5618692436951,3.197254469190462
Soybean,2012,Rabi,Andhra Pradesh,8744.277655975106,45251.43259878262,1869.137347920108,264.9275971549781,157.43017750836358,5.1749766394782295
Sugarcane,2011,Rabi,Rajasthan,418.4085022727977,4785.570218617598,1413.0085183997203,863.1869139354216,16.161276855501022,11.43755490775725
Wheat,2017,Rabi,Gujarat,8968.85451562122,43670.7481491729,559.4981145368229,620.1200553038706,121.32756243488112,4.869155595411961
Wheat,2016,Summer,Tamil Nadu,6555.618560509459,25058.43084326868,670.4839535992014,339.60087458174405,158.51780687638015,3.8224357643714564
Rice,2018,Rabi,Rajasthan,7401.62805672895,33135.964633315685,1630.2433422208378,346.1978265116601,81.48560919429042,4.476848117650441
Wheat,2011,Kharif,Punjab,125.81388758707398,719.4490482867975,1573.6815445194413,451.34235112946715,92.22090074239104,5.718359571306285
Cotton,2023,Summer,Uttar Pradesh,6319.5703969686,23192.07090574497,730.2455027385577,514.1144950001149,78.70873098330664,3.6698809331833453
Wheat,2023,Kharif,Andhra Pradesh,5926.013020739158,22530.155497826603,588.3629915984991,174.2545762631944,69.97363652763005,3.8019078626689202
Soybean,2013,Whole Year,Gujarat,5418.335008224369,22720.325543539453,1368.0767831598027,857.7992490996951,103.31692749386495,4.193230117564304
Soybean,2023,Summer,Karnataka,7880.0818813882615,17602.499969039363,1453.6082480401,209.38696239177466,41.559125425312665,2.233796581557636
Groundnut,2015,Whole Year,West Bengal,5603.123854325402,25653.255872977796,702.9494562692523,535.1138587268936,93.73065943405321,4.578384583302481
Soybean,2020,Rabi,Karnataka,8585.262176642591,16639.68778096091,1210.4289815612228,444.6714098718296,188.94677361171904,1.9381688571179005
Groundnut,2012,Rabi,Karnataka,2403.05171545542,5893.076901707461,958.7472936776194,561.0583758807486,15.206398581470518,2.4523304529010606
Soybean,2017,Winter,Punjab,8079.227630819828,24261.275493532943,1896.9584684553315,898.7342653613548,41.301249012075466,3.0029201555088583
Cotton,2012,Rabi,West Bengal,1875.1964509655768,6773.599286578791,828.7997050841069,990.1795058704956,157.76345422282,3.612207821261035
Barley,2023,Whole Year,Punjab,8149.866140492902,27714.555262342776,1599.8910888549494,118.24423541448252,35.09084708360522,3.400614781222236
Groundnut,2021,Rabi,Rajasthan,9410.58883640282,15240.621251458751,1277.2008700165063,453.91548855267473,61.54337090552164,1.61951834432546
Maize,2022,Summer,Punjab,3423.3720088728023,21868.04381578306,517.2815180390651,835.8494778255192,96.4193955684276,6.387866629482505
Sugarcane,2022,Rabi,Madhya Pradesh,5345.874508403869,50897.16050093409,1275.4978748189264,393.94259223577933,189.20082895180988,9.520829645537374
Rice,2011,Winter,Uttar Pradesh,6617.457326939162,29447.376846465097,649.2082248792522,684.1325583266695,44.8652255876782,4.449953417392973
Soybean,2022,Rabi,Madhya Pradesh,886.7694919594967,2452.49892132704,1488.5932937379675,993.0332833898144,185.38607286082012,2.765655498485573
Wheat,2022,Whole Year,Gujarat,4991.39911022079,31580.26457702994,1348.2852955723583,682.0941599343495,146.519657415442,6.326936371880912
Barley,2012,Whole Year,Rajasthan,3669.7912682236424,11943.859173040257,515.6408410002118,200.07223986094203,137.5175332312027,3.2546426486053703
Soybean,2020,Rabi,Tamil Nadu,8737.31074938795,29090.18321209947,807.039244374472,858.638761258587,147.4730795695061,3.329420693219277
Wheat,2015,Whole Year,Rajasthan,8779.127235212429,30478.54686448233,1664.337579308034,969.9916935632766,15.936857604174115,3.471705791235732
Sugarcane,2011,Whole Year,Tamil Nadu,7037.717441517644,81298.13707596045,913.6589214530318,741.2575791689809,28.79104960320867,11.551776233066407
Sugarcane,2017,Winter,Uttar Pradesh,6591.672298465733,55968.35113599024,1248.9251017445797,477.1612898587632,73.6198904606434,8.49076662215404
Sugarcane,2010,Summer,Punjab,7363.515746830983,71883.15726502,967.9979216137756,953.560157810882,24.053831298248753,9.762070149161584
Wheat,2016,Winter,Punjab,3723.27031992779,22450.98723504632,1882.29028459631,971.7148135442785,197.6420448041302,6.029910617793053
Soybean,2011,Kharif,West Bengal,4104.740542831192,23077.448312788045,1304.8655266751512,941.6050691492417,120.27831954758373,5.622145436961205
Sugarcane,2019,Winter,Gujarat,5581.676756598183,39307.8309025752,1544.2602722840313,470.6371020790726,102.59529751716697,7.042297971861024
Cotton,2021,Rabi,Karnataka,9386.478460908227,32687.221970716102,625.214157045662,810.7369065719622,159.24723913081831,3.482373299725584
Groundnut,2015,Summer,Maharashtra,7267.598753783669,8069.967198405025,560.5039812991282,688.761423130654,195.62224929427805,1.1104035145313471
Wheat,2021,Rabi,Rajasthan,5554.793520512611,14131.698213863467,888.8422926006963,261.7359992970281,191.4747000161072,2.544054637076655
Wheat,2011,Kharif,Rajasthan,7727.088847477474,26818.205116830053,963.7014383804811,581.9634115094386,160.68232810985225,3.470673839292649
Soybean,2011,Summer,Gujarat,3771.814091160408,6673.498535568013,1531.5208117698528,772.9219082157732,81.66310502256653,1.7693073874473209
Wheat,2019,Whole Year,Madhya Pradesh,7331.620341329269,26218.811010214147,1353.695754068662,906.3210483687785,22.532303399802274,3.576127757518403
Wheat,2022,Winter,Andhra Pradesh,4165.694857998733,11569.067592206702,1061.869410402478,876.3385333658981,28.69162576852542,2.7772239654069786
Sugarcane,2017,Rabi,Gujarat,2868.6479294483624,35615.56908604222,1481.1762262670163,239.1926501669339,10.218944750971621,12.415454932767247
Soybean,2021,Kharif,Maharashtra,6136.268070470695,27737.251604852525,745.3486210044307,539.2299218366898,10.361540212722621,4.520215102454753
Sugarcane,2011,Whole Year,Punjab,6900.087840536827,120636.37843425605,595.2345422220588,530.4417665147064,187.92014179735776,17.483310534909155
Groundnut,2016,Winter,Tamil Nadu,4647.006255677686,13958.05176999516,1781.7576384773008,908.86335570813,186.13322414942482,3.003665371214272
Barley,2012,Whole Year,Madhya Pradesh,5698.457240419465,21652.82593503699,1345.9191924033164,101.74357822318017,136.83522194391242,3.799769836202741
Groundnut,2017,Winter,Madhya Pradesh,6971.254141073972,15901.484977624103,1473.6429104561319,764.8421838642348,148.06857760185747,2.2810077865235256
Barley,2016,Summer,West Bengal,7700.329510419344,33191.565373578414,960.8633761243611,656.7773648916387,107.50960676350718,4.310408447932883
Sugarcane,2023,Whole Year,Uttar Pradesh,8966.157642922455,131220.2690736146,1057.9324366065496,929.4143258589096,55.19002865678316,14.635061561425356
Groundnut,2017,Whole Year,Maharashtra,3609.9876420168484,8112.234795797279,623.5511707294636,511.22561529856415,183.73315933067374,2.2471641457656317
Soybean,2023,Whole Year,Madhya Pradesh,9519.624803240677,29285.453208016417,1785.4822817026602,691.9050248879506,62.7613787982765,3.0763243103916285
Rice,2016,Summer,Maharashtra,6409.070120218566,35359.84688432124,1388.6591751184023,975.472327379388,150.53753958043058,5.517157125925683
Sugarcane,2020,Kharif,Gujarat,7898.248638719583,52696.9378103929,625.441494769911,769.5133866243178,56.632780097537136,6.67197757640304
Barley,2015,Winter,Tamil Nadu,7027.71353046624,23567.00874489347,1706.794399587501,160.64557671679063,175.32819942934378,3.3534390157946525
Cotton,2022,Whole Year,Tamil Nadu,2135.1600809492256,4989.661080505126,1166.1730542754617,250.7801958754071,133.7354925408414,2.336902569987576
Barley,2016,Summer,Rajasthan,807.2399917874004,2382.8471889612447,1647.65202525502,839.3059926637732,132.11205390577908,2.9518448208755315
Cotton,2014,Kharif,Punjab,7290.235993779391,21362.447399711604,518.929793133722,401.31598687629304,28.499774980964787,2.9302820125356357
Wheat,2016,Winter,Rajasthan,5159.421411166307,14055.276993529385,543.1095454581839,735.3262995384474,89.6990916021483,2.724196353317869
Groundnut,2010,Summer,Madhya Pradesh,7051.9123472424135,14572.076275141842,756.174438173217,729.8413600094452,109.73261643442386,2.06640065241879
Cotton,2010,Winter,Uttar Pradesh,4820.743758763051,9062.955984608714,816.3748342110198,994.3304710493844,65.8668947981109,1.8799912291820644
Barley,2018,Whole Year,Rajasthan,3191.12175212339,9748.117894872175,1645.9332954652066,522.8854512727067,177.38517624835848,3.0547621344706526
Wheat,2023,Kharif,Rajasthan,2921.6773016697257,8434.104706437458,1560.0412460248972,764.0491244553308,169.15728888713213,2.8867338297824348
Rice,2014,Summer,Rajasthan,7332.268095612943,29549.68626230733,1424.1321786947424,143.87758955749212,103.7879733450807,4.030088081474756
Soybean,2022,Kharif,Maharashtra,2840.1228065111695,13761.975849591703,1827.2883447250083,516.3319186237798,74.60592850238183,4.845556613975094
Soybean,2014,Whole Year,Gujarat,7175.301022161667,33711.802490199625,870.7231754845494,268.01339033541785,162.29303168107245,4.698311943440031
Soybean,2012,Kharif,Uttar Pradesh,3901.2052505420475,10748.627822364,1856.6073558566725,856.5143965418592,47.409375032835364,2.755206950690571
Cotton,2014,Kharif,Tamil Nadu,7731.894202756145,30634.048231064633,1864.2066038977737,855.9174988144639,23.588099867790227,3.9620366533397062
Rice,2012,Rabi,West Bengal,1513.818265248429,10715.397702639017,1151.389640280296,312.72797863512574,18.68499235367007,7.078391078126237
Cotton,2018,Kharif,Maharashtra,2129.301437723021,7453.282916981088,641.5793006302533,386.4566378048214,17.349819570620042,3.5003418421354624
Groundnut,2018,Winter,Madhya Pradesh,6890.5248966296185,11576.494063890243,1589.8398622842874,732.2300060143169,102.8888447293339,1.680059826727088
Cotton,2015,Summer,Uttar Pradesh,5646.2880899628,16380.116280251115,1005.3930089706187,764.4393310710403,58.50959085887844,2.901041537248064
Rice,2010,Rabi,Tamil Nadu,2118.395591953832,11759.11034840776,1692.3942761550961,691.8684419029364,141.17127305877003,5.550951103312169
Rice,2016,Summer,Uttar Pradesh,9037.987416095535,41425.97071415513,745.5354258557047,997.0251737735451,134.239399067696,4.583539322081885
Groundnut,2016,Summer,Andhra Pradesh,2831.847059385198,6213.5910359977615,1309.272670361548,881.8148907866008,112.98380135736473,2.1941831270177246
Rice,2023,Whole Year,Andhra Pradesh,4268.606842116975,15553.412007696985,1262.1105954773163,475.35299267727027,77.04022347131296,3.6436740564243246
Barley,2019,Whole Year,Rajasthan,2102.650624538126,8334.986821835137,650.4717358544202,394.27904938769524,171.58668654728874,3.9640379264938614
Rice,2019,Rabi,Rajasthan,3941.473421580991,11625.89978579936,1044.9992385089877,637.1647731964724,144.84352312701017,2.949632927154439
Soybean,2013,Whole Year,Andhra Pradesh,4967.302826103594,18911.79818335568,627.1329701700921,835.8727022501535,61.58996356601512,3.8072569451519223
Barley,2017,Whole Year,West Bengal,3022.945839677899,17479.573190505915,1197.1104642683713,527.8091263628976,105.32084583956689,5.782297837121818
Barley,2015,Whole Year,Tamil Nadu,7714.027364645185,40107.82327590349,1764.3568379206893,763.9233461484755,39.69152967661002,5.199336401076961
Groundnut,2013,Summer,Madhya Pradesh,3999.936488597846,10748.522584796285,905.3071449561976,117.24403555543816,72.46749530936236,2.6871733127353017
Maize,2013,Rabi,Punjab,7322.148999591795,28701.355251084442,1647.2929807811563,933.2560974682938,199.4566347440714,3.919799399422837
Maize,2011,Summer,Punjab,2150.014536363409,11825.12050747952,775.1411234186845,796.4512547639072,52.530401850767234,5.500018863817004
Rice,2023,Winter,Maharashtra,3832.6514182524693,8393.997631340595,1510.6023912359772,454.7710780877196,142.6774475864463,2.1901281163649133
Barley,2011,Summer,West Bengal,179.7770600657982,359.6814255839493,1873.3060998956744,445.6110929673629,55.29954269763538,2.0007081295706266
Maize,2021,Winter,West Bengal,7610.512080745746,16866.61447552554,985.8921223486548,192.59812697365481,188.24556241110417,2.2162259643733195
Maize,2023,Kharif,Madhya Pradesh,6296.277778871793,34012.494128192586,1850.6174571329273,834.5383514942755,68.92524054816982,5.402000248833869
Rice,2013,Kharif,Uttar Pradesh,8196.450916712516,54130.990093126005,1258.1313897895916,791.766558331466,75.87092418287476,6.604198651730254
Maize,2014,Winter,Punjab,4610.546802216862,18998.04445220436,975.2076997484862,667.2247367820546,122.83335688257557,4.1205621083966975
Cotton,2017,Winter,Uttar Pradesh,8017.432372757107,14984.428283161631,1844.7623526672971,191.31082492963105,121.7412365118376,1.8689809388449696
Wheat,2015,Summer,Uttar Pradesh,6511.067188282686,25409.418658021073,548.0559001545922,336.10722907336367,120.02451406146416,3.902496767925825
Groundnut,2023,Winter,West Bengal,135.7680320889628,191.85216127082532,542.0282769092157,513.0230259381565,118.91838699718573,1.4130878846731245
Wheat,2013,Rabi,Uttar Pradesh,2611.573521376268,6834.337410996253,1399.7444063094995,339.3747493878034,69.31550980683966,2.616942374034578
Rice,2022,Kharif,Punjab,4989.524386841856,32064.474747987668,1695.1260759953514,490.57653083761323,92.53794243432293,6.426358959692958
Soybean,2020,Kharif,Tamil Nadu,6225.0047621485155,19781.03439373428,1627.3194611571594,303.36178657388706,122.75235419678563,3.1776737768963566
Groundnut,2016,Winter,Karnataka,749.3495601799078,1015.2426270839178,619.2042550274083,414.64045342541505,137.541323496752,1.354831818197335
Rice,2017,Whole Year,Uttar Pradesh,7080.291289019538,48031.58326356251,1925.3767903003368,687.0671952369648,58.09451256948302,6.783842825513724
Barley,2011,Whole Year,Madhya Pradesh,5481.007366707872,16669.854476890956,1554.5953064562734,903.1249727017256,143.28026172355877,3.041385161812615
Soybean,2021,Winter,Gujarat,5305.215137501028,19717.796429230835,1923.6680805916085,446.5276131095427,185.42248752140097,3.7166817778701278
Wheat,2016,Rabi,Rajasthan,2991.2510251693593,9295.807614184887,993.6466384611531,722.7174080446817,154.00626363531984,3.10766550047687
Rice,2023,Whole Year,Madhya Pradesh,5988.748684956711,17822.234597297364,1540.908691974226,221.31377774426826,26.004232536317126,2.975952997003445
Barley,2011,Winter,Andhra Pradesh,372.17960735456904,1403.3723986851894,1789.908120100228,586.7361800701854,99.133981817104,3.770685902594929
Groundnut,2011,Rabi,Punjab,740.533271989486,2525.4485775181183,1070.69633473144,929.5338029990622,92.70012875242415,3.410310749081338
Groundnut,2017,Rabi,Gujarat,7365.313863407131,25403.259429227674,1947.2898781528552,125.14222401164508,73.93562928347008,3.4490396336587814
Sugarcane,2011,Summer,Rajasthan,3286.7242910862424,29570.570650286263,897.4891868308115,340.80162555412767,103.35082658157062,8.996973287501815
Barley,2020,Rabi,Madhya Pradesh,3534.97404868239,15277.945773346568,973.4204390318309,219.24418031212986,93.53041694597697,4.321940009443973
Cotton,2018,Whole Year,Gujarat,2163.013512238873,11501.16631673605,1880.492864940558,579.8093315467733,11.172390661798477,5.317195778787125
Maize,2021,Whole Year,Karnataka,4511.644851789329,22496.778666106886,1954.489619754055,711.6782176641929,54.94550283749328,4.986380667171666
Soybean,2010,Winter,Punjab,614.734970971873,1812.3379902682968,927.7936224577245,152.00127285679838,50.618607603645984,2.9481615262640064
Barley,2018,Winter,Tamil Nadu,3073.5959133540255,3866.0138999573232,704.5850594642877,163.25597857649615,76.35931283613192,1.2578146278632252
Sugarcane,2010,Rabi,Maharashtra,5318.526825599205,78360.13483062842,1638.5831145658965,882.6662734740148,43.146780927617954,14.733428522624791
Maize,2019,Kharif,West Bengal,4709.756023435457,16631.882957132762,1894.4978994506723,510.60983371075747,22.882274305187273,3.5313682650170275
Maize,2022,Summer,Karnataka,9996.729466918034,36047.876528553374,1401.070465552812,516.6564396747831,47.35644245665243,3.605966996290722
Rice,2019,Kharif,Andhra Pradesh,3948.770055957409,15748.569012834105,1451.77843160937,950.1223554623052,172.29548941969836,3.9882213422568475
Maize,2011,Rabi,West Bengal,3931.290686617658,16536.610451093155,1644.4150012584503,388.1886492384386,161.43747476426054,4.206407454779352
Cotton,2015,Rabi,Tamil Nadu,5085.459596403157,11963.634934560438,729.6272282621123,907.3212823295113,93.99827751089151,2.352517940172423
Groundnut,2015,Kharif,Karnataka,1984.000791685175,5009.565014787034,1960.203344742109,976.8292701186373,176.78485645596507,2.5249813587685104
Sugarcane,2010,Summer,Rajasthan,8775.413787295663,41433.825623942,1046.4940770928922,317.52477788538727,54.20646744294894,4.721580842595315
Maize,2016,Kharif,Gujarat,5765.45110975804,22385.02309331905,1442.3606389133938,562.6349642912887,120.99973682785402,3.8826143292469073
Rice,2017,Winter,Punjab,2001.8656280742819,8129.103773212464,1202.9240307499892,580.9205376102325,37.15572635381808,4.060763948993095
Cotton,2011,Whole Year,Gujarat,7955.07175458411,30019.041451585752,1202.2714696472674,879.5513006128575,168.34613101438404,3.7735726813887354
Wheat,2017,Winter,Uttar Pradesh,439.88849431424717,1467.3540112676446,1554.1165581795822,373.5173227436394,34.81049592345198,3.3357408303100504
Groundnut,2018,Whole Year,Madhya Pradesh,9827.38558579573,35308.71060578596,1991.9934483083816,818.2381990180733,16.053430205904206,3.592889512427428
Groundnut,2015,Rabi,Andhra Pradesh,8664.978414236577,35443.11796750777,1488.5897757439272,973.9066521502106,61.9544037129571,4.090387335446175
Sugarcane,2014,Summer,Uttar Pradesh,5838.430609786797,71382.20898242849,1691.0886973591028,856.3029874698693,181.17766697593444,12.226266569439483
Groundnut,2021,Kharif,Uttar Pradesh,1201.8270612949582,2028.479381097344,541.4240858934052,918.2262551110457,34.596845566024214,1.687829677351145
Maize,2018,Summer,Andhra Pradesh,2231.200455567747,7262.46158443396,1715.6410535972275,737.5189952286727,72.82735105215252,3.254957019353049
Rice,2022,Kharif,Madhya Pradesh,2866.408186104275,12359.236812261495,949.9638226524457,913.5601842494563,70.1188486723166,4.311750459050597
Groundnut,2021,Winter,Rajasthan,2486.214205245749,4459.607385165161,690.0527675519972,248.36557181709463,162.3127920784093,1.793734174535598
Groundnut,2020,Winter,Madhya Pradesh,5025.448103489113,6105.730334902301,670.0011281715588,741.1252735374634,90.08982595820467,1.2149623693582987
Wheat,2018,Kharif,Punjab,9451.147665644763,60381.61540725411,1519.81222125444,758.6896194743285,126.19773942678984,6.3888130355579245
Wheat,2010,Summer,Gujarat,4497.308589201324,9505.199238193567,1996.425254060825,495.2628518494786,86.83277110824633,2.1135305816053847
Soybean,2020,Kharif,Rajasthan,6649.489224916714,16832.580270606646,1499.2926475593495,171.7646206221209,114.7768328760051,2.531409511505371
Cotton,2012,Rabi,Maharashtra,6916.973739190349,23570.178864800633,893.5222251001635,660.1993716347445,21.86373756331203,3.407585420088582
Maize,2018,Winter,Gujarat,8728.649180019378,24526.479426529557,804.9589565044096,146.69272591343258,81.06559324662562,2.809882597031481
